"Labels used to categorize compared ""features""*";"Github ""component"" labels";;;;;;;;;;;;;;;;;;;;;;;;
Account & User Info;Account & User Info;;*Categories bolded are mapped to github labels in Dataverse's github repo.;;;;;;;;;;;;;;;;;;;;;;
API;API;;;;;;;;;;;;;;;;;;;;;;;;
Business model;Code Infrastructure;;;;;;;;;;;;;;;;;;;;;;;;
Citation;DataTags;;;;;;;;;;;;;;;;;;;;;;;;
Communications/Community;Dataverse General Info;;;;;;;;;;;;;;;;;;;;;;;;
Customization;Documentation;;;;;;;;;;;;;;;;;;;;;;;;
Documentation;DOI & Handle;;;;;;;;;;;;;;;;;;;;;;;;
DOI & Handle;File Upload & Handling;;;;;;;;;;;;;;;;;;;;;;;;
File Upload & Handling;Guestbook;;;;;;;;;;;;;;;;;;;;;;;;
Guestbook;Harvesting;;;;;;;;;;;;;;;;;;;;;;;;
Harvesting;In Review Workflow;;;;;;;;;;;;;;;;;;;;;;;;
Internationalization;Installer;;;;;;;;;;;;;;;;;;;;;;;;
Interoperability;Internationalization;;;;;;;;;;;;;;;;;;;;;;;;
Metadata;Metadata;;;;;;;;;;;;;;;;;;;;;;;;
Metrics + Reports;Metrics + Reports;;;;;;;;;;;;;;;;;;;;;;;;
Notifications;Migration;;;;;;;;;;;;;;;;;;;;;;;;
Permissions;Performance & Stability;;;;;;;;;;;;;;;;;;;;;;;;
Preservation;Permissions;;;;;;;;;;;;;;;;;;;;;;;;
Publishing & Versions;Publishing & Versions;;;;;;;;;;;;;;;;;;;;;;;;
Search/Browse;Search/Browse;;;;;;;;;;;;;;;;;;;;;;;;
Terms & Licensing;Superuser;;;;;;;;;;;;;;;;;;;;;;;;
;Terms & Licensing;;;;;;;;;;;;;;;;;;;;;;;;
;TwoRavens;;;;;;;;;;;;;;;;;;;;;;;;
;UX & UI;;;;;;;;;;;;;;;;;;;;;;;;
;WorldMap & GeoConnect;;;;;;;;;;;;;;;;;;;;;;;;
