;;;Median: 8 / 1st quartile: 4 / 3rd quartile: 12 / Mean: 9;;;Use Case;;;;;;;;;;;
Category;Requirement;Description;Functional requirement score;AVERAGE;Number of Mentions;Dissertation;iRODS;DKRZ Climate;NORDR;VecNet;OpARA;CurateND;CUAC;TAILwag;SURFsara;Inst. Life-cycle;
Metadata;Support for different metadata (schemas), including domain-specificity and interoperability;"Any form of metadata (schemas) should be allowed. This includes metadata such as author, owner, license, source publication, librarian, date and time stamps; and domain-specific descriptors.";28;1,00;7;;1;1;;1;1;;1;1;1;;
Persistent identifiers;Assignment of PID / DOI ;At data ingest time or “project publication” or even before (e.g. when a paper was submitted but the data are not final yet) a PID has to be assigned to data and the collections it belongs to. It resolves to the “landing page” of the research data, which displays the required descriptive metadata during the embargo period. A clear transition for PID collections to a DOI has to be established.;26;1,33;7;2;;1;2;;1;;1;;1;1;
Authentication;Fine grained authentication and authorization. Allow the integration or the import from external authentication/authorizsation systems.;Provide different access rights for groups and individuals (roles) on collections, and allow the import of such concepts (e.g. from Identity management systems). In the case of confidential or proprietary data authenticate every access and authorize every operation.;16;1,00;4;;1;;;;1;;;;1;1;
Data Access;Allow data providers to choose the level of access to data (e.g. Open Access).;Control over access to data is in the hands of those who provide the data;16;1,00;4;;;;;1;;;1;;1;1;
Data Access;Provide state-of-the-art user interfaces and clients over the life time of a repository platform;(Easy to use) User interface, features, and functionality should be updated over time to match the requirements and expectations of current researchers. They include web based user interfaces and others (e.g. WebDAV, FUSE, Java I/O, Python, Shell commands);16;1,00;4;;1;;;;1;1;;;;1;
Policy Support;Allow the (automated) use of data policies;Data policies are used to define what happens when to which dataset. E.g. for processing and quality control regularly enforced policies are helpful.;15;1,25;4;;1;;2;;;;1;;1;;
Publication;Provide data access statistics either by the use of external analytics services or internal monitoring of user activity.;Provide the data publisher (or other stakeholders) with data access statistics to track and share usage and activity related to profiles, collections, datasets, and other items. ;13;2,00;4;;;;;;2;3;1;;;1;
Submission / Ingest / Management;Provide interfaces (APIs) for the automated execution of tasks, e.g. to ingest data or to integrate data analysis tools and other external applications ;API for automatized execution of standard repository tasks and to interoperate with external tools useful to the stakeholders;13;1,75;4;;1;;;3;2;;1;;;;
Data Access;Provide (authorized) users access to versions of data (e.g. different simulation runs);Provide different versions of a data set.;12;1,00;3;;;;;1;1;;;;;1;
Data Access;Embargo date selection for data-depositing user;The user can select a specific date (e.g., 2016-05-15) or time span (e.g., 1 year) for when the research data shall become available. The selecteable default values can be set by the repository administrator to match the policies of the university.;12;1,00;3;1;;;;;;;;;1;1;
Data organization;Collection virtualization / logical naming ;Manage data collections and their properties (like file names) independently of the storage system and storage resource naming.;12;1,00;3;;1;;;;;;;;1;1;
Metadata;Allow data annotation by the data owner, by other (authorized) people or by automatic (metadata) extraction tools;Additional annotation of data provides additional valuable insights of the data and aids in more comprehensive records over time.;12;1,00;3;;;;1;1;;;;;;1;
Policy Support;Policy enforcement points;Control all operations with administrator defined rules;12;1,00;3;;1;;;;;;;;1;1;
Submission / Ingest / Management;Record audit trails;Track changes to resource metadata and information relationships. Maintain a log of all events / operations. This provides a record of information flow into and out of the repository and charts the connections that are created and shift as use occurs and new files are added ;12;1,00;3;;1;;;1;;;;;;1;
Data Access;Sophisticated search capabilities for metadata and data both for humans and computers;Allow search capabilities like full text search, schema specific search. Metadata and data should be indexable by search machines and harvestable by external search engines to increase usage and impact.;11;1,33;3;;;;;1;2;1;;;;;
Submission / Ingest / Management;Easy to use ingest process with few barriers to participation;Opening up many barriers to entry into the repository allows for the curation of unpublished materials and supports linking to published works in other places.;11;1,50;3;;;;;;;2;1;;;1;
Location;Tight integration with (near) data processing.;The large data volumes require data near processing (and data reduction) facilities like High Performance Computing). These should provide and maintain provenance information. Processing of large datasets in facilities near the data would be most efficient.;9;2,00;3;;;2;2;;2;;;;;;
Authentication;Provide Single-Sign-On and/or support for different authentication methods;Combined support for methods like Shibboleth or LDAP ;8;1,00;2;;1;;;;1;;;;;;
Data Access;Allow local download of a selected set of information;The ability to download content to a local device when the information conforms to proper handling and is marked as accessible;8;1,00;2;;;;;1;;;;;;1;
Integration;Federation;Enable interoperation with other existing data management systems;8;1,00;2;;1;;;;;;;;;1;
Persistent identifiers;Integration of PIDs into data management ;All data management activities should be integrated with PID management. PID metadata has to always be in sync with the data/metadata holding.;8;1,00;2;;;1;;;;;;;1;;
Policy Support;Require all data to be attributed with handling requirements;Handling requirements include licenses and security parameters.;8;1,00;2;;;;;1;;;1;;;;
Preservation and Sustainability;Maintain a permanent history of versions for all data;Having a permanent history of versions shows the process of change overtime and allows users to return to the original or other iteration.;8;1,00;2;;;;;1;1;;;;;;
Submission / Ingest / Management;Provide integrity and qiality control mechanisms for data and metadata;This convers topicas like bit preservation, replication, checksum of data and metadata completeness, accuracy, correctness.;8;1,00;2;;1;;1;;;;;;;;
Submission / Ingest / Management;Micro-services;Encapsulate operations in basic functions that can be chained into a workflow;8;1,00;2;;1;;;;;;;;;1;
User Experience/User Interface;Seamless integration of data and other research outputs into a coherent and consistent discovery and access solution;;8;1,00;2;;;;;;;;1;;;1;
Preservation and Sustainability;"Files need to be converted to the most accessible formats; use of proprietary and legacy types are possible, but may be reviewed on a case by case basis.";Many materials are in formats that may become obsolete - repository needs to have consistent sustainable formats available, but legacy dataset deposit can facilitate reuse.;7;1,50;2;;;;;;;1;;2;;;
